序号,秘 密 事 项,密 级,保密期限,标密部门,知悉范围,涉密岗位,相关文件或材料,报送方向 ,报送频率及形式,标注方式
1,本单位党委会议、总经理办公会议议定尚未正式公布的重要事项,工作秘密,公布之日,办公室,公司负责人和相关人员,办公室主任、行政秘书,党委会、总经理办公会会议记录,无,无,内部事项
2,本单位党委会议、总经理办公会议记录,工作秘密,视具体情况确定,办公室,公司负责人和相关人员,办公室主任、行政秘书,会议记录,无,无,内部事项
3,公司年度、月度工作会议等重要会议、活动的相关材料,工作秘密,视具体情况确定,办公室,公司负责人和相关人员,办公室主任、行政秘书,报告,省公司,视情况而定，协同办公系统,内部资料
4,公司职工集体上访、进京上访以及其他重大信访事件的综合情况和统计数字、重要人民来信批办件,工作秘密,5年,办公室,相关工作人员,公司分管领导、办公室分管主任、企业法制管理专职,调查材料等,省公司,视情况而定，协同办公系统,内部事项·5年
5,公司系统通讯录,工作秘密,3年,办公室,相关工作人员,办公室主任、专职,通讯录,公司各单位及员工,视情况而定，协同办公系统,内部资料·5年
6,公司领导在工作会议、主要负责人会议等重要会议上尚未公布的主报告,工作秘密,公布之日,办公室,公司负责人和相关人员,办公室主任、行政秘书,报告,公司领导,视情况而定，当面或协同办公系统,内部资料
7,公司领导会谈、讲话等录音资料,工作秘密,视具体情况确定,办公室,公司负责人和相关人员,办公室主任、行政秘书、文书,录音资料,无,无,内部资料
8,与境内公司签订的重要商务协议或合同,普通商密,"无其它保密要求
的，到期后2年",办公室,合同承办人、审核人、签约人、部门负责人、归口管理人等合同管理人员,合同承办人、审核人、签约人、部门负责人、合同管理人员、档案人员,合同协议,公司领导,视金额而定，经法系统,普通商密
9,尚未公布的公司体制改革有关事项和政策研究成果,工作秘密,公布之日,办公室,相关工作人员,职能部室、业务支撑和实施机构、集体企业的主要负责人、相关知悉人员,尚未公布的改革研究成果及方案,省公司,视情况而定，协同办公系统,内部事项
10,重大法律纠纷或案件材料,工作秘密,视具体情况确定,办公室,涉案部门相关人员、案件承办人及所属处室、部门负责人,公司相关领导、涉案部门负责人和专职、办公室负责人、企业法制管理专职,案件材料、案件分析报告,省公司,视情况而定，协同办公系统,内部资料
11,对关系公司重大利益出具的法律意见,工作秘密,视具体情况确定,办公室,该法律意见的拟稿人、复核人、审核人和其他知悉人,法律意见拟稿人、审核人及其它知悉人,法律意见书及相关材料,省公司,视情况而定，协同办公系统,内部事项
12,公司电网中长期专项发展规划,核心商密,5年,发展部,政府主管部门、公司负责人及本部相关工作人员，公司各单位负责人及部门相关人员,部门主任、输电网规划、配电网规划、项目前期,电网规划报告,省公司、政府,视情况而定,核心商密·5年
